,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,4,4,4,5,J.Randle u31.5 Pts,SBK5065,-120,0.6,1.1,0,New York Knicks,J.Randle,Houston Rockets,0.0,0.5000000000000001,0.7954545454545454,1,0.6,1,0.6,1,N
1,1,5,5,5,6,L.Ball o3.5 3pt M,SBK5065,-115,0.5,0.934782608695652,0,Charlotte Hornets,L.Ball,Brooklyn Nets,1.0,0.434782608695652,0.75,1,0.6,1,0.6,1,Y
2,2,6,6,6,7,L.Ball o37.5 Pts+Rebs+Ast,JoeMetz,-120,1.0,1.8333333333333333,0,Charlotte Hornets,L.Ball,Brooklyn Nets,1.0,0.8333333333333333,0.6,1,0.8,1,0.7,1,Y
3,3,7,7,7,8,L.Ball o37.5 Pts+Rebs+Ast,SBK5065,-120,0.5,0.9166666666666669,0,Charlotte Hornets,L.Ball,Brooklyn Nets,1.0,0.4166666666666668,0.6,1,0.8,1,0.7,1,Y
4,4,8,8,8,9,L.Ball o37.5 Pts+Rebs+Ast,PropBetGuy,-120,0.5,0.9166666666666669,0,Charlotte Hornets,L.Ball,Brooklyn Nets,1.0,0.4166666666666668,0.6,1,0.8,1,0.7,1,Y
5,5,9,9,9,10,L.Ball o3.5 3pt M,JoeDellera,-120,0.83,1.5216666666666667,0,Charlotte Hornets,L.Ball,Brooklyn Nets,1.0,0.6916666666666668,0.75,1,0.6,1,0.6,1,Y
6,6,10,10,10,11,C.Wood o19.5 Pts,SBK5065,-115,0.5,0.934782608695652,0,Dallas Mavericks,C.Wood,San Antonio Spurs,0.0,0.434782608695652,0.5121951219512195,1,0.8,1,0.7,1,Y
7,7,11,11,11,12,C.Wood o19.5 Pts,PropBomb,-120,1.0,1.8333333333333333,0,Dallas Mavericks,C.Wood,San Antonio Spurs,0.0,0.8333333333333333,0.5121951219512195,1,0.8,1,0.7,1,Y
8,8,19,19,19,20,K.Leonard o6.5 Rebs,JoeDellera,-130,0.75,1.3269230769230769,0,Los Angeles Clippers,K.Leonard,Indiana Pacers,0.0,0.5769230769230769,0.5714285714285714,1,0.6,1,0.6,1,N
9,9,20,20,20,21,J.Ivey o4.5 Ast,SBK5065,-123,0.62,1.1240650406504065,0,Detroit Pistons,J.Ivey,Minnesota Timberwolves,0.0,0.5040650406504065,0.4883720930232558,0,0.8,1,0.7,1,N
10,10,21,21,21,22,J.Ivey o15.5 Pts,JoeMetz,-108,1.08,2.08,0,Detroit Pistons,J.Ivey,Minnesota Timberwolves,0.0,1.0,0.5116279069767442,1,0.6,1,0.5,0,N
11,11,22,22,22,23,Z.LaVine o22.5 Pts,JoeMetz,-110,1.1,2.1,0,Chicago Bulls,Z.LaVine,Cleveland Cavaliers,1.0,1.0,0.5,0,1.0,1,0.8,1,N
