,Unnamed: 0,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0.1.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,0,0.0,4.0,4.0,4,5,J.Randle u31.5 Pts,SBK5065,-120,0.6,1.1,0,New York Knicks,J.Randle,Houston Rockets,0.0,0.5000000000000001,0.7954545454545454,1.0,0.6,1.0,0.6,1.0
6,6,6.0,10.0,10.0,10,11,C.Wood o19.5 Pts,SBK5065,-115,0.5,0.934782608695652,0,Dallas Mavericks,C.Wood,San Antonio Spurs,0.0,0.434782608695652,0.5121951219512195,1.0,0.8,1.0,0.7,1.0
7,7,7.0,11.0,11.0,11,12,C.Wood o19.5 Pts,PropBomb,-120,1.0,1.8333333333333333,0,Dallas Mavericks,C.Wood,San Antonio Spurs,0.0,0.8333333333333333,0.5121951219512195,1.0,0.8,1.0,0.7,1.0
10,10,10.0,21.0,21.0,21,22,J.Ivey o15.5 Pts,JoeMetz,-108,1.08,2.08,0,Detroit Pistons,J.Ivey,Minnesota Timberwolves,0.0,1.0,0.5116279069767442,1.0,0.6,1.0,0.5,0.0
11,11,11.0,22.0,22.0,22,23,Z.LaVine o22.5 Pts,JoeMetz,-110,1.1,2.1,0,Chicago Bulls,Z.LaVine,Cleveland Cavaliers,1.0,1.0,0.5,0.0,1.0,1.0,0.8,1.0
4,4,,,,4,5,J.Randle u31.5 Pts,SBK5065,-120,0.6,1.1,0,New York Knicks,J.Randle,Houston Rockets,0.0,0.5000000000000001,,,,,,
10,10,,,,10,11,C.Wood o19.5 Pts,SBK5065,-115,0.5,0.934782608695652,0,Dallas Mavericks,C.Wood,San Antonio Spurs,0.0,0.434782608695652,,,,,,
11,11,,,,11,12,C.Wood o19.5 Pts,PropBomb,-120,1.0,1.8333333333333333,0,Dallas Mavericks,C.Wood,San Antonio Spurs,0.0,0.8333333333333333,,,,,,
12,12,,,,12,13,K.Johnson o22.5 Pts,JoeDellera,-110,0.45,0.8590909090909091,0,San Antonio Spurs,K.Johnson,Dallas Mavericks,1.0,0.4090909090909091,,,,,,
13,13,,,,13,14,K.Johnson o22.5 Pts,PropBetGuy,-110,1.0,1.9090909090909087,0,San Antonio Spurs,K.Johnson,Dallas Mavericks,1.0,0.9090909090909088,,,,,,
21,21,,,,21,22,J.Ivey o15.5 Pts,JoeMetz,-108,1.08,2.08,0,Detroit Pistons,J.Ivey,Minnesota Timberwolves,0.0,1.0,,,,,,
22,22,,,,22,23,Z.LaVine o22.5 Pts,JoeMetz,-110,1.1,2.1,0,Chicago Bulls,Z.LaVine,Cleveland Cavaliers,1.0,1.0,,,,,,
23,23,,,,23,24,S.Gilgeous-Alexander o29.5 Pts,SBK5065,-115,0.58,1.0843478260869563,0,Oklahoma City Thunder,S.Gilgeous-Alexander,Philadelphia 76ers,1.0,0.5043478260869564,,,,,,
