,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,Unnamed: 0.1,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,0,M.Smart o19.5 Pts+Ast,Boston Celtics,PropBetGuy,-115,1.15,2.1499999999999995,7.700000000000002,M.Smart,Toronto Raptors,0,0.9999999999999996,,,,,,,
1,1,M.Smart o19.5 Pts+Ast,Boston Celtics,JoeDellera,-120,0.6,1.1,19.2821,M.Smart,Toronto Raptors,0,0.5000000000000001,,,,,,,
6,6,M.Smart o19.5 Pts+Ast,Boston Celtics,SBK5065,-115,0.58,1.0843478260869563,3.437099999999999,M.Smart,Toronto Raptors,0,0.5043478260869564,,,,,,,
9,9,G.Allen o14.5 Pts+Ast,Milwaukee Bucks,PropBetGuy,-110,1.1,2.1,7.700000000000002,G.Allen,Cleveland Cavaliers,0,1.0,,,,,,,
10,10,G.Allen o14.5 Pts+Ast,Milwaukee Bucks,JoeDellera,-110,1.1,2.1,19.2821,G.Allen,Cleveland Cavaliers,0,1.0,,,,,,,
11,11,G.Allen o14.5 Pts+Ast,Milwaukee Bucks,SBK5065,-110,1.1,2.1,3.437099999999999,G.Allen,Cleveland Cavaliers,0,1.0,,,,,,,
0,0,M.Smart o19.5 Pts+Ast,Boston Celtics,PropBetGuy,-115,1.15,2.1499999999999995,7.700000000000002,M.Smart,Toronto Raptors,0,0.9999999999999996,0.0,0.4146341463414634,0.0,0.6,1.0,0.4,0.0
1,1,M.Smart o19.5 Pts+Ast,Boston Celtics,JoeDellera,-120,0.6,1.1,19.2821,M.Smart,Toronto Raptors,0,0.5000000000000001,1.0,0.4146341463414634,0.0,0.6,1.0,0.4,0.0
4,6,M.Smart o19.5 Pts+Ast,Boston Celtics,SBK5065,-115,0.58,1.0843478260869563,3.437099999999999,M.Smart,Toronto Raptors,0,0.5043478260869564,6.0,0.4146341463414634,0.0,0.6,1.0,0.4,0.0
7,9,G.Allen o14.5 Pts+Ast,Milwaukee Bucks,PropBetGuy,-110,1.1,2.1,7.700000000000002,G.Allen,Cleveland Cavaliers,0,1.0,9.0,0.4285714285714285,0.0,0.8,1.0,0.6,1.0
8,10,G.Allen o14.5 Pts+Ast,Milwaukee Bucks,JoeDellera,-110,1.1,2.1,19.2821,G.Allen,Cleveland Cavaliers,0,1.0,10.0,0.4285714285714285,0.0,0.8,1.0,0.6,1.0
9,11,G.Allen o14.5 Pts+Ast,Milwaukee Bucks,SBK5065,-110,1.1,2.1,3.437099999999999,G.Allen,Cleveland Cavaliers,0,1.0,11.0,0.4285714285714285,0.0,0.8,1.0,0.6,1.0
